moosh,out,n
the_end_of,the,1884
at_the_end,of,1638
the_rest_of,the,1584
i_am_going,to,1368
for_the_first,time,1358
i_do_not,know,1335
at_the_same,time,1171
one_of_the,most,1069
when_it_comes,to,1051
i_do_not,think,1020
is_one_of,the,1010
do_not_want,to,945
to_be_able,to,922
in_the_middle,of,826
we_are_going,to,812
in_the_united,states,800
i_would_like,to,779
the_top_of,the,629
is_going_to,be,628
if_you_do,not,606
will_be_able,to,606
if_you_want,to,598
did_not_want,to,594
i_am_not,sure,592
i_do_not,have,590
i_do_not,want,583
on_the_other,hand,582
said_in_a,statement,573
going_to_be,a,571
by_the_end,of,570
as_well_as,the,569
the_middle_of,the,556
do_not_have,to,550
was_one_of,the,545
one_of_the,best,529
a_member_of,the,525
a_lot_of,people,521
a_bit_of,a,520
at_the_university,of,499
you_are_going,to,495
the_bottom_of,the,489
in_front_of,the,479
i_was_going,to,477
you_do_not,have,477
for_the_rest,of,473
the_first_time,in,456
are_going_to,be,448
in_the_block,of,427
for_a_long,time,418
as_part_of,the,417
as_a_result,of,398
i_was_able,to,397
in_the_first,place,396
the_back_of,the,395
i_would_love,to,388
but_i_do,not,386
do_not_know,what,386
a_little_bit,of,380
one_of_my,favorite,375
and_i_do,not,374
going_to_have,to,372
was_going_to,be,366
have_a_lot,of,363
do_not_have,a,361
not_be_able,to,357
as_well_as,a,356
at_the_top,of,356
for_the_most,part,341
i_thought_i,would,338
in_the_midst,of,337
as_much_as,i,335
a_few_years,ago,330
they_are_going,to,322
on_the_other,side,320
to_go_to,the,320
are_not_going,to,319
nothing_to_do,with,316
turned_out_to,be,315
i_am_not,a,311
i_did_not,know,311
the_fact_that,the,310
to_do_with,the,307
at_the_time,of,305
the_new_york,times,305
i_am_not,going,304
there_are_so,many,303
you_would_like,to,298
as_one_of,the,296
in_the_form,of,296
i_did_not,have,295
end_of_the,day,294
a_lot_of,the,293
the_beginning_of,the,293
in_the_second,half,290
the_other_side,of,290
i_have_to,say,289
in_the_case,of,289
it_going_to,be,289
this_is_not,a,289
i_am_trying,to,288
am_not_going,to,287
most_of_the,time,286
executive_director_of,the,285
can_not_wait,to,283
as_part_of,a,281
from_am_to,pm,281
in_a_way,that,281
a_lot_of,time,278
it_would_be,a,278
the_first_time,i,277
in_addition_to,the,276
that_i_do,not,273
do_not_know,if,271
i_did_not,want,271
in_the_first,half,270
the_start_of,the,269
to_be_in,the,269
of_the_united,states,267
at_the_beginning,of,266
i_feel_like,i,266
if_you_have,a,266
do_not_have,the,265
i_can_not,wait,264
in_the_early,s,263
the_united_states,and,263
if_you_are,a,262
do_not_know,how,261
there_will_be,a,261
i_want_to,be,260
for_those_of,you,258
a_couple_of,weeks,257
in_the_first,round,257
i_do_not,like,256
in_new_york,city,256
in_one_of,the,256
in_the_face,of,256
but_i_am,not,253
the_best_way,to,253
to_come_up,with,253
i_have_no,idea,252
not_want_to,be,252
for_a_couple,of,248
i_dont_want,to,248
and_i_am,not,247
in_the_late,s,247
as_you_can,see,246
this_is_one,of,246
if_you_would,like,245
not_going_to,be,245
one_of_the,first,245
a_few_weeks,ago,243
at_a_time,when,241
what_do_you,think,241
in_the_back,of,240
on_top_of,the,240
contributed_to_this,report,239
and_one_of,the,237
to_get_out,of,237
if_you_are,not,236
we_do_not,have,236
in_the_s,and,235
it_would_have,been,234
are_going_to,have,232
if_you_have,not,232
one_of_the,few,232
those_of_you,who,232
from_time_to,time,231
have_been_able,to,231
in_the_first,quarter,230
at_the_bottom,of,229
i_thought_it,was,229
there_are_a,lot,229
you_do_not,want,229
be_a_part,of,227
with_the_help,of,227
are_a_lot,of,226
in_the_fourth,quarter,226
the_center_of,the,226
the_fact_that,i,226
to_go_back,to,225
the_side_of,the,224
one_of_the,things,223
to_take_care,of,223
this_is_the,first,222
and_i_have,been,221
as_soon_as,i,221
in_and_out,of,221
be_one_of,the,220
do_not_need,to,220
had_a_lot,of,219
in_the_process,of,219
is_not_going,to,219
other_side_of,the,219
to_get_to,the,219
to_make_sure,that,219
the_name_of,the,218
the_first_time,since,217
when_i_was,a,217
the_time_of,the,213
it_will_be,a,212
take_a_look,at,212
thought_it_would,be,212
a_great_deal,of,211
a_lot_of,things,211
i_just_want,to,211
and_a_lot,of,210
and_the_rest,of,210
did_not_have,a,210
for_the_sake,of,210
find_a_way,to,209
in_an_effort,to,209
in_the_way,of,206
some_of_the,most,206
a_couple_of,years,205
a_great_way,to,205
a_part_of,the,205
to_get_rid,of,205
do_not_think,i,204
a_few_of,the,203
it_was_the,first,203
would_be_able,to,203
a_spokesman_for,the,201
at_the_start,of,201
but_i_did,not,201
is_part_of,the,201
end_of_the,year,200
in_the_name,of,200
in_the_wake,of,200
you_have_got,to,200
here_are_a,few,199
a_lot_of,fun,197
i_have_not,been,196
is_one_of,my,196
that_there_is,a,196
both_sides_of,the,195
come_up_with,a,195
more_than_a,year,195
that_i_am,not,194
the_front_of,the,193
to_be_one,of,193
this_is_not,the,191
and_i_did,not,190
at_the_age,of,190
said_he_did,not,190
said_in_an,interview,190
am_looking_forward,to,189
so_i_decided,to,189
to_be_part,of,188
was_the_first,time,187
there_are_a,few,186
does_not_want,to,185
of_one_of,the,185
over_the_course,of,185
i_look_forward,to,184
with_a_lot,of,184
you_do_not,know,184
is_one_of,those,183
some_of_the,best,183
the_rest_of,us,183
this_time_of,year,183
trying_to_figure,out,183
all_of_a,sudden,182
it_was_time,to,182
to_the_united,states,182
he_was_going,to,181
the_s_and,s,181
i_think_i,am,180
in_an_attempt,to,180
they_do_not,have,180
that_i_did,not,179
the_heart_of,the,179
to_be_on,the,179
should_be_able,to,178
to_the_fact,that,178
you_have_to,be,178
you_have_to,do,178
do_not_think,it,177
i_am_looking,forward,177
i_went_to,the,177
one_of_the,biggest,177
would_like_to,see,177
all_over_the,world,176
and_i_can,not,176
be_able_to,get,176
